Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,10,0.017893,57409344,3.208455,2.45
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,11,0.012475,57409344,4.602099,3.51
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,12,0.012700,57409344,4.520328,3.45
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,13,0.014486,57409344,3.963079,3.03
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,14,0.013927,57409344,4.122253,3.15
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,15,0.013949,57409344,4.115794,3.14
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,16,0.013510,57409344,4.249485,3.25
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,17,0.013352,57409344,4.299599,3.28
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,18,0.015433,57409344,3.719990,2.84
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,19,0.013043,57409344,4.401663,3.36
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,20,0.012985,57409344,4.421176,3.38
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,21,0.012927,57409344,4.440904,3.39
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,22,0.013635,57409344,4.210563,3.22
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,23,0.013473,57409344,4.261198,3.25
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,24,0.013382,57409344,4.289921,3.28
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,25,0.013802,57409344,4.159444,3.18
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,26,0.014215,57409344,4.038552,3.08
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,27,0.015752,57409344,3.644661,2.78
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,28,0.014809,57409344,3.876687,2.96
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,29,0.015099,57409344,3.802105,2.90
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,30,0.015509,57409344,3.701608,2.83
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,31,0.015591,57409344,3.682243,2.81
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,32,0.019803,57409344,2.899071,2.21
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,33,0.016369,57409344,3.507247,2.68
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,34,0.016277,57409344,3.527069,2.69
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,35,0.016520,57409344,3.475172,2.65
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,36,0.016795,57409344,3.418328,2.61
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,37,0.016979,57409344,3.381199,2.58
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,38,0.020393,57409344,2.815198,2.15
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,39,0.017049,57409344,3.367396,2.57
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,40,0.017072,57409344,3.362781,2.57
olafu.mtx,16146,16146,1015156,0.00389406,2,0.001606,2030312,1.264310,0.95
olafu.mtx,16146,16146,1015156,0.00389406,3,0.000955,2030312,2.125316,1.59
olafu.mtx,16146,16146,1015156,0.00389406,4,0.001035,2030312,1.962181,1.47
olafu.mtx,16146,16146,1015156,0.00389406,5,0.000914,2030312,2.220243,1.66
olafu.mtx,16146,16146,1015156,0.00389406,6,0.000639,2030312,3.179765,2.38
olafu.mtx,16146,16146,1015156,0.00389406,7,0.000879,2030312,2.310078,1.73
olafu.mtx,16146,16146,1015156,0.00389406,8,0.000831,2030312,2.441866,1.83
olafu.mtx,16146,16146,1015156,0.00389406,9,0.000772,2030312,2.628576,1.97
olafu.mtx,16146,16146,1015156,0.00389406,10,0.000749,2030312,2.710697,2.03
olafu.mtx,16146,16146,1015156,0.00389406,11,0.000694,2030312,2.924000,2.19
olafu.mtx,16146,16146,1015156,0.00389406,12,0.000647,2030312,3.139021,2.35
olafu.mtx,16146,16146,1015156,0.00389406,13,0.000654,2030312,3.102712,2.32
olafu.mtx,16146,16146,1015156,0.00389406,14,0.000616,2030312,3.294489,2.47
olafu.mtx,16146,16146,1015156,0.00389406,15,0.000630,2030312,3.221005,2.41
olafu.mtx,16146,16146,1015156,0.00389406,16,0.000542,2030312,3.744098,2.80
olafu.mtx,16146,16146,1015156,0.00389406,17,0.000571,2030312,3.556241,2.66
olafu.mtx,16146,16146,1015156,0.00389406,18,0.000597,2030312,3.402763,2.55
olafu.mtx,16146,16146,1015156,0.00389406,19,0.000576,2030312,3.527347,2.64
olafu.mtx,16146,16146,1015156,0.00389406,20,0.000524,2030312,3.874323,2.90
olafu.mtx,16146,16146,1015156,0.00389406,21,0.000550,2030312,3.692874,2.77
olafu.mtx,16146,16146,1015156,0.00389406,22,0.000932,2030312,2.177964,1.63
olafu.mtx,16146,16146,1015156,0.00389406,23,0.000603,2030312,3.369549,2.52
olafu.mtx,16146,16146,1015156,0.00389406,24,0.001194,2030312,1.701138,1.27
olafu.mtx,16146,16146,1015156,0.00389406,25,0.001341,2030312,1.514318,1.13
olafu.mtx,16146,16146,1015156,0.00389406,26,0.000653,2030312,3.109949,2.33
olafu.mtx,16146,16146,1015156,0.00389406,27,0.001107,2030312,1.833529,1.37
olafu.mtx,16146,16146,1015156,0.00389406,28,0.000670,2030312,3.029710,2.27
olafu.mtx,16146,16146,1015156,0.00389406,29,0.001049,2030312,1.935799,1.45
olafu.mtx,16146,16146,1015156,0.00389406,30,0.000715,2030312,2.838922,2.13
olafu.mtx,16146,16146,1015156,0.00389406,31,0.001014,2030312,2.002732,1.50
olafu.mtx,16146,16146,1015156,0.00389406,32,0.000754,2030312,2.691112,2.02
olafu.mtx,16146,16146,1015156,0.00389406,33,0.000957,2030312,2.122498,1.59
olafu.mtx,16146,16146,1015156,0.00389406,34,0.001347,2030312,1.507117,1.13
olafu.mtx,16146,16146,1015156,0.00389406,35,0.001345,2030312,1.510034,1.13
olafu.mtx,16146,16146,1015156,0.00389406,36,0.000778,2030312,2.608254,1.95
olafu.mtx,16146,16146,1015156,0.00389406,37,0.000867,2030312,2.342167,1.75
olafu.mtx,16146,16146,1015156,0.00389406,38,0.001265,2030312,1.605101,1.20
olafu.mtx,16146,16146,1015156,0.00389406,39,0.000775,2030312,2.618208,1.96
olafu.mtx,16146,16146,1015156,0.00389406,40,0.000850,2030312,2.387591,1.79
olm1000.mtx,1000,1000,3996,0.00399600,2,0.000018,7992,0.435502,0.53
olm1000.mtx,1000,1000,3996,0.00399600,3,0.000926,7992,0.008632,0.01
olm1000.mtx,1000,1000,3996,0.00399600,4,0.000030,7992,0.264611,0.32
olm1000.mtx,1000,1000,3996,0.00399600,5,0.000028,7992,0.284754,0.34
olm1000.mtx,1000,1000,3996,0.00399600,6,0.000028,7992,0.286790,0.35
olm1000.mtx,1000,1000,3996,0.00399600,7,0.000044,7992,0.179754,0.22
olm1000.mtx,1000,1000,3996,0.00399600,8,0.000041,7992,0.196504,0.24
olm1000.mtx,1000,1000,3996,0.00399600,9,0.000038,7992,0.208305,0.25
olm1000.mtx,1000,1000,3996,0.00399600,10,0.000009,7992,0.891568,1.08
olm1000.mtx,1000,1000,3996,0.00399600,11,0.000069,7992,0.115207,0.14
olm1000.mtx,1000,1000,3996,0.00399600,12,0.000009,7992,0.899512,1.09
olm1000.mtx,1000,1000,3996,0.00399600,13,0.000069,7992,0.115747,0.14
olm1000.mtx,1000,1000,3996,0.00399600,14,0.000009,7992,0.899088,1.09
olm1000.mtx,1000,1000,3996,0.00399600,15,0.000009,7992,0.894869,1.08
olm1000.mtx,1000,1000,3996,0.00399600,16,0.000103,7992,0.077657,0.09
olm1000.mtx,1000,1000,3996,0.00399600,17,0.000009,7992,0.858779,1.04
olm1000.mtx,1000,1000,3996,0.00399600,18,0.000010,7992,0.801134,0.97
olm1000.mtx,1000,1000,3996,0.00399600,19,0.000009,7992,0.858993,1.04
olm1000.mtx,1000,1000,3996,0.00399600,20,0.000009,7992,0.870451,1.05
olm1000.mtx,1000,1000,3996,0.00399600,21,0.000157,7992,0.050906,0.06
olm1000.mtx,1000,1000,3996,0.00399600,22,0.000010,7992,0.794679,0.96
olm1000.mtx,1000,1000,3996,0.00399600,23,0.000010,7992,0.779095,0.94
