Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS,Speedup
amazon0302.mtx,262111,262111,1234877,-0.07137846,18,0.000804,2469754,3.070924,5.00
amazon0302.mtx,262111,262111,1234877,-0.07137846,19,0.000729,2469754,3.386642,5.51
amazon0302.mtx,262111,262111,1234877,-0.07137846,20,0.000759,2469754,3.253417,5.30
amazon0302.mtx,262111,262111,1234877,-0.07137846,21,0.000706,2469754,3.497392,5.69
amazon0302.mtx,262111,262111,1234877,-0.07137846,22,0.000997,2469754,2.476051,4.03
amazon0302.mtx,262111,262111,1234877,-0.07137846,23,0.001400,2469754,1.764685,2.87
amazon0302.mtx,262111,262111,1234877,-0.07137846,24,0.001473,2469754,1.676868,2.73
amazon0302.mtx,262111,262111,1234877,-0.07137846,25,0.001242,2469754,1.989244,3.24
amazon0302.mtx,262111,262111,1234877,-0.07137846,26,0.001176,2469754,2.100787,3.42
amazon0302.mtx,262111,262111,1234877,-0.07137846,27,0.001235,2469754,2.000140,3.26
amazon0302.mtx,262111,262111,1234877,-0.07137846,28,0.000975,2469754,2.532760,4.12
amazon0302.mtx,262111,262111,1234877,-0.07137846,29,0.001163,2469754,2.124194,3.46
amazon0302.mtx,262111,262111,1234877,-0.07137846,30,0.001896,2469754,1.302487,2.12
amazon0302.mtx,262111,262111,1234877,-0.07137846,31,0.001142,2469754,2.161974,3.52
amazon0302.mtx,262111,262111,1234877,-0.07137846,32,0.000782,2469754,3.159810,5.14
amazon0302.mtx,262111,262111,1234877,-0.07137846,33,0.000886,2469754,2.788408,4.54
amazon0302.mtx,262111,262111,1234877,-0.07137846,34,0.002575,2469754,0.959021,1.56
amazon0302.mtx,262111,262111,1234877,-0.07137846,35,0.000848,2469754,2.912638,4.74
amazon0302.mtx,262111,262111,1234877,-0.07137846,36,0.001254,2469754,1.969280,3.21
amazon0302.mtx,262111,262111,1234877,-0.07137846,37,0.002315,2469754,1.067042,1.74
amazon0302.mtx,262111,262111,1234877,-0.07137846,38,0.001492,2469754,1.654888,2.69
amazon0302.mtx,262111,262111,1234877,-0.07137846,39,0.001425,2469754,1.732630,2.82
amazon0302.mtx,262111,262111,1234877,-0.07137846,40,0.001337,2469754,1.846613,3.01
bcsstk17.mtx,10974,10974,428650,0.00355937,2,0.000835,857300,1.026693,0.61
bcsstk17.mtx,10974,10974,428650,0.00355937,3,0.000267,857300,3.213137,1.92
bcsstk17.mtx,10974,10974,428650,0.00355937,4,0.000195,857300,4.394546,2.63
